subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,trialstart,trialend,tdur,recstart,recend,blinks,eye,start_time,end_time,duration,x_pos,y_pos,pup_size,valid,line_no,region_no
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12455397.0,12455821.0,428.0,216.8,33.9,1520.0,yes,1.0,1.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12455845.0,12456137.0,296.0,263.5,25.1,1536.0,yes,1.0,2.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12456153.0,12456341.0,192.0,226.8,21.3,1529.0,yes,1.0,1.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12456373.0,12456529.0,160.0,328.2,14.1,1511.0,yes,1.0,3.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12456553.0,12456765.0,216.0,387.3,28.3,1500.0,yes,1.0,4.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12456781.0,12457041.0,264.0,358.3,72.3,1475.0,yes,1.0,4.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12457069.0,12457237.0,172.0,267.6,64.6,1486.0,yes,1.0,2.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12457277.0,12457581.0,308.0,413.9,62.6,1527.0,yes,1.0,5.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12457601.0,12458041.0,444.0,462.1,67.9,1489.0,yes,1.0,6.0
1950024,0.0,RP_story01,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,12455397.0,12525542.0,70145.0,12455460.0,12524713.0,10.0,L,12458057.0,12458225.0,172.0,502.2,67.6,1445.0,yes,1.0,6.0
