subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,1,3,The,1,215,248,204.0,248.0,480.0,1.0,0.0,0.0,605.0,2.0,480.0,128.0,480.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,2,6, trial,1,248,314,248.0,314.0,1020.0,2.0,0.0,0.0,605.0,1.0,128.0,228.0,1020.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,3,5, pack,1,314,369,314.0,369.0,228.0,1.0,0.0,0.0,605.0,2.0,228.0,172.0,228.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,4,3, of,1,369,402,369.0,402.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,5,15, Beauty-Forever,1,402,567,402.0,567.0,980.0,4.0,0.0,0.0,605.0,1.0,172.0,232.0,980.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,6,6, pills,1,567,633,567.0,633.0,232.0,1.0,0.0,0.0,605.0,3.0,232.0,312.0,232.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,7,5, made,1,633,688,633.0,688.0,312.0,1.0,0.0,0.0,605.0,3.0,312.0,168.0,312.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,8,4, the,1,688,732,688.0,732.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,9,7, couple,1,732,809,732.0,809.0,256.0,2.0,0.0,0.0,605.0,2.0,168.0,376.0,256.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,R,23053.0,0.0,125,11,10,5, feel,1,809,864,809.0,864.0,,,,,,,,,,,,,,
