subj,trial_id,eye,startline,endline,FixlineIndex,start_time,end_time,duration,x_pos,y_pos,pup_size,valid
1950088,0.0,R,1.0,2.0,24.0,9827282.0,9827422.0,144.0,192.6,189.4,574.0,yes
1950088,0.0,R,2.0,3.0,39.0,9831118.0,9831250.0,136.0,285.7,224.5,575.0,yes
1950088,0.0,R,3.0,4.0,58.0,9835458.0,9835630.0,176.0,258.0,281.6,581.0,yes
1950088,0.0,R,4.0,5.0,81.0,9842510.0,9842670.0,164.0,244.3,332.6,556.0,yes
1950088,0.0,R,5.0,6.0,105.0,9848886.0,9849034.0,152.0,257.4,404.4,550.0,yes
1950088,0.0,R,6.0,7.0,125.0,9855042.0,9855166.0,128.0,181.6,456.3,576.0,yes
1950088,0.0,R,7.0,8.0,162.0,9865882.0,9866002.0,124.0,305.3,510.1,546.0,yes
1950088,0.0,R,8.0,9.0,199.0,9877174.0,9877302.0,132.0,284.1,572.0,566.0,yes
1950088,0.0,R,9.0,10.0,228.0,9884862.0,9884998.0,140.0,288.8,662.9,564.0,yes
1950088,0.0,R,10.0,9.0,231.0,9885910.0,9886126.0,220.0,1028.3,514.7,498.0,yes
1950088,0.0,R,9.0,10.0,233.0,9886726.0,9886910.0,188.0,270.4,672.3,505.0,yes
1950088,0.0,R,10.0,11.0,251.0,9890906.0,9890978.0,76.0,329.0,698.1,573.0,yes
1950088,0.0,R,11.0,12.0,270.0,9896262.0,9896494.0,236.0,221.1,758.1,588.0,yes
1950088,0.0,R,12.0,13.0,293.0,9903922.0,9904518.0,600.0,244.1,804.1,551.0,yes
1950088,1.0,R,1.0,2.0,42.0,9937094.0,9937222.0,132.0,271.7,172.2,608.0,yes
1950088,1.0,R,2.0,3.0,70.0,9944410.0,9944542.0,136.0,280.2,236.6,609.0,yes
1950088,1.0,R,3.0,4.0,87.0,9950014.0,9950134.0,124.0,254.7,322.9,641.0,yes
1950088,1.0,R,4.0,5.0,106.0,9956130.0,9956214.0,88.0,335.0,357.2,629.0,yes
1950088,1.0,R,5.0,6.0,128.0,9964206.0,9964306.0,104.0,310.4,404.2,532.0,yes
1950088,1.0,R,6.0,7.0,145.0,9968018.0,9968142.0,128.0,286.2,424.3,554.0,yes
1950088,1.0,R,7.0,8.0,174.0,9977482.0,9977606.0,128.0,264.9,506.2,594.0,yes
1950088,1.0,R,8.0,9.0,198.0,9983398.0,9983534.0,140.0,304.8,597.8,579.0,yes
1950088,2.0,R,1.0,2.0,25.0,9998802.0,9999030.0,232.0,231.4,190.3,653.0,yes
1950088,2.0,R,2.0,3.0,44.0,10004514.0,10004654.0,144.0,266.2,257.7,664.0,yes
1950088,2.0,R,3.0,4.0,69.0,10011394.0,10011602.0,212.0,258.0,337.9,547.0,yes
1950088,2.0,R,4.0,5.0,95.0,10019582.0,10019910.0,332.0,236.4,370.3,558.0,yes
1950088,2.0,R,5.0,6.0,136.0,10034234.0,10034350.0,120.0,261.0,447.8,518.0,yes
1950088,2.0,R,6.0,7.0,166.0,10041986.0,10042074.0,92.0,274.9,449.8,527.0,yes
1950088,2.0,R,7.0,6.0,171.0,10043566.0,10043662.0,100.0,912.1,388.6,525.0,yes
1950088,2.0,R,6.0,7.0,174.0,10044322.0,10044486.0,168.0,345.1,479.1,553.0,yes
1950088,2.0,R,7.0,8.0,195.0,10049378.0,10049462.0,88.0,298.8,527.3,546.0,yes
1950088,2.0,R,8.0,9.0,230.0,10057038.0,10057182.0,148.0,293.3,606.3,526.0,yes
1950088,2.0,R,9.0,10.0,249.0,10063270.0,10063410.0,144.0,270.2,669.0,612.0,yes
1950088,2.0,R,10.0,11.0,283.0,10073618.0,10073754.0,140.0,165.2,768.8,616.0,yes
1950088,2.0,R,11.0,12.0,305.0,10080510.0,10080642.0,136.0,266.4,753.4,625.0,yes
1950088,2.0,R,12.0,13.0,349.0,10100118.0,10100238.0,124.0,294.8,867.9,593.0,yes
1950088,2.0,R,13.0,14.0,378.0,10107574.0,10107898.0,328.0,199.4,1063.4,532.0,yes
