subj,trial_id,eye,startline,endline,SaclineIndex,start_time,end_time,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk
1950088,0.0,R,1.0,2.0,23.0,9827186.0,9827278.0,96.0,944.8,128.9,186.1,160.6,18.48,423.0
1950088,0.0,R,2.0,3.0,38.0,9831050.0,9831114.0,68.0,947.4,187.3,290.8,219.5,16.13,363.0
1950088,0.0,R,3.0,4.0,58.0,9835390.0,9835454.0,68.0,842.4,266.5,268.1,239.3,14.16,323.0
1950088,0.0,R,4.0,5.0,82.0,9842426.0,9842506.0,84.0,957.5,305.2,245.4,330.0,17.42,316.0
1950088,0.0,R,5.0,6.0,106.0,9848810.0,9848882.0,76.0,1009.1,364.0,265.8,398.3,18.13,344.0
1950088,0.0,R,6.0,7.0,128.0,9854962.0,9855038.0,80.0,1005.9,380.0,189.5,441.8,19.83,599.0
1950088,0.0,R,7.0,8.0,171.0,9865814.0,9865878.0,68.0,956.7,494.9,307.0,510.0,15.87,352.0
1950088,0.0,R,8.0,9.0,211.0,9876930.0,9877170.0,244.0,994.7,479.1,283.3,565.0,17.39,470.0
1950088,0.0,R,9.0,10.0,241.0,9884790.0,9884858.0,72.0,1007.7,630.8,289.4,656.6,17.32,345.0
1950088,0.0,R,10.0,9.0,244.0,9885738.0,9885906.0,172.0,232.7,619.6,1042.3,506.5,19.68,510.0
1950088,0.0,R,9.0,10.0,248.0,9886602.0,9886722.0,124.0,953.7,559.9,256.3,817.9,17.81,342.0
1950088,0.0,R,10.0,11.0,266.0,9890838.0,9890902.0,68.0,992.9,659.7,328.3,682.1,16.04,341.0
1950088,0.0,R,11.0,12.0,286.0,9896178.0,9896258.0,84.0,1017.0,686.3,211.3,793.6,19.3,367.0
1950088,0.0,R,12.0,13.0,313.0,9903834.0,9903918.0,88.0,1046.8,698.0,244.8,799.0,19.18,476.0
1950088,1.0,R,1.0,2.0,41.0,9937018.0,9937090.0,76.0,1002.3,127.2,272.5,166.6,17.83,356.0
1950088,1.0,R,2.0,3.0,69.0,9944334.0,9944406.0,76.0,992.3,180.2,282.3,232.1,17.41,359.0
1950088,1.0,R,3.0,4.0,86.0,9949938.0,9950010.0,76.0,784.9,255.7,253.4,319.7,13.19,267.0
1950088,1.0,R,4.0,5.0,106.0,9956062.0,9956126.0,68.0,948.4,314.8,343.3,352.5,14.91,336.0
1950088,1.0,R,5.0,6.0,130.0,9964118.0,9964202.0,88.0,974.8,350.6,316.3,400.6,16.19,352.0
1950088,1.0,R,6.0,7.0,147.0,9967942.0,9968014.0,76.0,994.7,349.5,289.8,415.6,17.29,345.0
1950088,1.0,R,7.0,8.0,179.0,9976670.0,9977478.0,812.0,852.9,479.1,265.8,573.0,14.52,676.0
1950088,1.0,R,8.0,9.0,203.0,9983214.0,9983394.0,184.0,1024.3,503.4,306.0,595.1,17.56,352.0
1950088,2.0,R,1.0,2.0,25.0,9998722.0,9998798.0,80.0,1011.8,146.8,235.0,190.3,18.93,373.0
1950088,2.0,R,2.0,3.0,44.0,10004442.0,10004510.0,72.0,941.6,208.1,273.7,251.3,16.43,339.0
1950088,2.0,R,3.0,4.0,69.0,10011322.0,10011390.0,72.0,991.6,273.9,260.0,335.3,17.93,359.0
1950088,2.0,R,4.0,5.0,96.0,10019502.0,10019578.0,80.0,996.3,323.7,237.0,369.9,18.53,359.0
1950088,2.0,R,5.0,6.0,138.0,10034162.0,10034230.0,72.0,936.7,400.6,270.3,442.6,16.33,358.0
1950088,2.0,R,6.0,7.0,168.0,10041910.0,10041982.0,76.0,992.4,394.9,280.9,445.9,17.38,355.0
1950088,2.0,R,7.0,6.0,173.0,10043458.0,10043506.0,52.0,344.3,451.6,944.5,163.8,16.36,848.0
1950088,2.0,R,6.0,7.0,177.0,10044246.0,10044318.0,76.0,970.2,398.3,351.6,475.7,15.26,298.0
1950088,2.0,R,7.0,8.0,198.0,10049302.0,10049374.0,76.0,989.7,512.7,296.5,526.7,16.87,330.0
1950088,2.0,R,8.0,9.0,237.0,10056970.0,10057034.0,68.0,963.9,559.2,296.0,599.6,16.24,379.0
1950088,2.0,R,9.0,10.0,260.0,10062622.0,10063266.0,648.0,757.5,344.1,272.0,663.1,14.21,462.0
1950088,2.0,R,10.0,11.0,304.0,10073522.0,10073614.0,96.0,1018.7,592.0,176.0,819.7,20.7,635.0
1950088,2.0,R,11.0,12.0,329.0,10080238.0,10080506.0,272.0,952.2,686.3,263.6,748.9,16.58,405.0
1950088,2.0,R,12.0,13.0,382.0,10099838.0,10100114.0,280.0,1005.4,924.5,296.9,914.1,16.63,534.0
1950088,2.0,R,13.0,14.0,413.0,10107466.0,10107570.0,108.0,1073.4,940.6,184.4,1199.6,21.0,538.0
