subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,1,3,The,1,215,248,204.0,248.0,376.0,1.0,0.0,0.0,605.0,2.0,376.0,96.0,376.0,0.0,0.0,605.0,484.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,2,6, trial,1,248,314,248.0,314.0,120.0,1.0,1.0,1.0,2.0,2.0,120.0,484.0,700.0,2.0,0.0,2.0,96.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,3,5, pack,1,314,369,314.0,369.0,96.0,1.0,1.0,2.0,2.0,3.0,96.0,120.0,1460.0,6.0,0.0,2.0,316.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,4,3, of,1,369,402,369.0,402.0,396.0,1.0,0.0,0.0,605.0,0.0,396.0,136.0,396.0,0.0,0.0,605.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,5,15, Beauty-Forever,1,402,567,402.0,567.0,348.0,2.0,1.0,4.0,9.0,2.0,228.0,396.0,1600.0,5.0,3.0,9.0,856.0,4.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,6,6, pills,1,567,633,567.0,633.0,232.0,1.0,0.0,0.0,605.0,2.0,232.0,224.0,232.0,0.0,0.0,605.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,7,5, made,1,633,688,633.0,688.0,224.0,1.0,0.0,0.0,605.0,2.0,224.0,208.0,224.0,0.0,0.0,605.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,8,4, the,1,688,732,688.0,732.0,412.0,2.0,0.0,0.0,605.0,0.0,208.0,164.0,412.0,0.0,0.0,605.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,9,7, couple,1,732,809,732.0,809.0,324.0,2.0,0.0,0.0,605.0,6.0,164.0,100.0,324.0,0.0,0.0,605.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,10,5, feel,1,809,864,809.0,864.0,100.0,1.0,0.0,0.0,605.0,2.0,100.0,256.0,100.0,0.0,0.0,605.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,11,5, more,1,864,919,864.0,919.0,256.0,1.0,0.0,0.0,605.0,4.0,256.0,200.0,256.0,0.0,0.0,605.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,27675.0,0.0,202,80,12,11, attractive,1,919,1040,919.0,1051.0,200.0,1.0,0.0,0.0,605.0,5.0,200.0,132.0,200.0,0.0,0.0,605.0,0.0,0.0
