subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,tdur,blinks,eye,start,end,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk,line
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12555657.0,12555669.0,16.0,812.9,370.9,856.9,370.0,1.09,110.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12555893.0,12555909.0,20.0,860.3,372.8,924.4,369.4,1.58,139.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12556181.0,12556193.0,16.0,922.4,370.9,887.0,375.9,0.88,91.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12556477.0,12556509.0,36.0,881.9,363.5,991.5,367.2,2.7,155.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12557101.0,12557113.0,16.0,979.5,375.0,1007.0,375.9,0.67,65.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12557205.0,12557273.0,72.0,1006.7,372.6,281.9,405.7,17.7,391.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12557397.0,12557409.0,16.0,286.6,406.4,248.3,417.9,0.97,88.0,5_6
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12557585.0,12557589.0,8.0,257.5,413.2,246.9,413.0,0.26,50.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12557825.0,12557853.0,32.0,243.3,419.4,358.5,420.0,2.82,169.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12557889.0,12557945.0,60.0,357.2,417.1,940.6,383.4,14.38,349.0,6_5
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12558089.0,12558105.0,20.0,932.9,385.8,932.4,370.8,0.37,60.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12558205.0,12558233.0,32.0,941.2,378.0,988.1,361.5,1.22,79.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12558277.0,12558337.0,64.0,981.6,362.9,298.1,411.7,16.75,452.0,5_6
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12558549.0,12558569.0,24.0,312.8,408.6,405.4,409.0,2.28,180.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12558753.0,12558773.0,24.0,414.2,414.5,492.3,415.3,1.94,178.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12558885.0,12558917.0,36.0,490.2,414.9,320.8,411.2,4.18,218.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12559197.0,12559229.0,36.0,337.3,406.5,213.5,401.5,3.02,163.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12559445.0,12559501.0,60.0,241.5,403.4,645.9,407.2,9.96,295.0,0.0
