subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,1,6,Cowboy,1,215,281,204.0,281.0,728.0,3.0,0.0,0.0,1023.0,0.0,392.0,180.0,728.0,0.0,0.0,1023.0,184.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,2,4, was,1,281,325,281.0,325.0,180.0,1.0,1.0,1.0,3.0,3.0,180.0,184.0,620.0,2.0,0.0,3.0,256.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,3,8, without,1,325,413,325.0,413.0,284.0,1.0,0.0,0.0,1023.0,3.0,284.0,564.0,284.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,4,2, a,1,413,435,413.0,435.0,,,,,,,,,0.0,0.0,,,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,5,6, doubt,1,435,501,435.0,501.0,768.0,2.0,0.0,0.0,1023.0,0.0,564.0,236.0,768.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,6,4, the,1,501,545,501.0,545.0,196.0,1.0,0.0,0.0,1023.0,0.0,196.0,352.0,196.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,7,8, ugliest,1,545,633,545.0,633.0,396.0,2.0,1.0,6.0,20.0,0.0,236.0,196.0,592.0,1.0,5.0,20.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,8,6, horse,1,633,699,633.0,699.0,352.0,1.0,0.0,0.0,1023.0,3.0,352.0,264.0,352.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,9,3, in,1,699,732,699.0,732.0,,,,,,,,,0.0,0.0,,,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,10,4, the,1,732,776,732.0,776.0,264.0,1.0,0.0,0.0,1023.0,1.0,264.0,240.0,264.0,0.0,0.0,1023.0,144.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,11,7, world.,1,776,853,776.0,853.0,240.0,1.0,0.0,0.0,1023.0,2.0,240.0,104.0,240.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,12,5, Even,1,853,908,853.0,908.0,392.0,2.0,0.0,0.0,1023.0,1.0,224.0,236.0,392.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,13,4," so,",1,908,952,908.0,952.0,100.0,1.0,0.0,0.0,1023.0,3.0,100.0,200.0,100.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,14,2, I,1,952,974,952.0,974.0,236.0,1.0,1.0,13.0,61.0,0.0,236.0,100.0,336.0,1.0,12.0,61.0,156.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,15,6, loved,1,974,1040,974.0,1051.0,200.0,1.0,1.0,14.0,64.0,0.0,200.0,156.0,528.0,2.0,13.0,64.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,16,3,him,2,215,248,204.0,248.0,336.0,1.0,0.0,0.0,1023.0,2.0,336.0,200.0,336.0,0.0,0.0,1023.0,500.0,3.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,17,7, beyond,2,248,325,248.0,325.0,160.0,1.0,1.0,16.0,71.0,1.0,160.0,336.0,2968.0,15.0,9.0,47.0,548.0,3.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,18,4, all,2,325,369,325.0,369.0,104.0,1.0,1.0,17.0,76.0,1.0,104.0,160.0,2876.0,15.0,9.0,47.0,336.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,19,8, reason.,2,369,457,369.0,457.0,196.0,1.0,1.0,18.0,79.0,1.0,196.0,336.0,61660.0,271.0,17.0,79.0,348.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,20,2, I,2,457,479,457.0,479.0,,,,,,,,,0.0,0.0,,,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,21,9, realized,2,479,578,479.0,578.0,636.0,2.0,0.0,0.0,1023.0,0.0,472.0,244.0,636.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,22,5, that,2,578,633,578.0,633.0,244.0,1.0,0.0,0.0,1023.0,2.0,244.0,384.0,244.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,23,3, my,2,633,666,633.0,666.0,384.0,1.0,0.0,0.0,1023.0,2.0,384.0,284.0,384.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,24,5, only,2,666,721,666.0,721.0,,,,,,,,,0.0,0.0,,,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,25,7, chance,2,721,798,721.0,798.0,456.0,2.0,0.0,0.0,1023.0,1.0,284.0,312.0,456.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,26,3, to,2,798,831,798.0,831.0,80.0,1.0,0.0,0.0,1023.0,2.0,80.0,348.0,80.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,27,8, compete,2,831,919,831.0,919.0,312.0,1.0,1.0,26.0,123.0,1.0,312.0,80.0,740.0,2.0,25.0,123.0,348.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,28,3, at,2,919,952,919.0,952.0,204.0,1.0,0.0,0.0,1023.0,2.0,204.0,112.0,204.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,29,4, the,2,952,996,952.0,1007.0,,,,,,,,,0.0,0.0,,,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,30,7,Western,3,215,292,204.0,292.0,320.0,2.0,0.0,0.0,1023.0,4.0,208.0,160.0,320.0,0.0,0.0,1023.0,0.0,0.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,31,5, Days,3,292,347,292.0,347.0,112.0,1.0,1.0,30.0,146.0,2.0,112.0,208.0,592.0,3.0,29.0,146.0,300.0,2.0
1950024,0.0,RP_story01,70054.0,10.0,L,82219.0,0.0,303,105,32,9, Festival,3,347,446,347.0,446.0,168.0,1.0,1.0,31.0,150.0,2.0,168.0,140.0,308.0,1.0,30.0,150.0,0.0,0.0
