subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,1,4,Alex,1,215,259,204.0,259.0,428.0,1.0,0.0,0.0,876.0,0.0,428.0,296.0,428.0,0.0,0.0,876.0,192.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,2,4, and,1,259,303,259.0,303.0,296.0,1.0,1.0,1.0,1.0,0.0,296.0,192.0,488.0,1.0,0.0,1.0,172.0,1.0
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,3,4, Tim,1,303,347,303.0,347.0,160.0,1.0,0.0,0.0,876.0,2.0,160.0,216.0,160.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,4,4, are,1,347,391,347.0,391.0,480.0,2.0,1.0,2.0,0.0,3.0,216.0,172.0,652.0,1.0,1.0,0.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,5,6, lost.,1,391,457,391.0,457.0,308.0,1.0,0.0,0.0,876.0,2.0,308.0,444.0,308.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,6,7, Alex's,1,457,534,457.0,534.0,1124.0,3.0,0.0,0.0,876.0,0.0,444.0,444.0,1124.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,7,5, wife,1,534,589,534.0,589.0,444.0,1.0,0.0,0.0,876.0,0.0,444.0,148.0,444.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,8,4, had,1,589,633,589.0,633.0,148.0,1.0,0.0,0.0,876.0,0.0,148.0,188.0,148.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,9,9, recently,1,633,732,633.0,732.0,432.0,2.0,0.0,0.0,876.0,0.0,188.0,200.0,432.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,10,7, passed,1,732,809,732.0,809.0,200.0,1.0,0.0,0.0,876.0,4.0,200.0,276.0,200.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,11,5, away,1,809,864,809.0,864.0,276.0,1.0,0.0,0.0,876.0,4.0,276.0,180.0,276.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,12,4, and,1,864,908,864.0,908.0,180.0,1.0,0.0,0.0,876.0,3.0,180.0,172.0,180.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,13,3, he,1,908,941,908.0,941.0,,,,,,,,,0.0,0.0,,,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,14,9, couldn't,1,941,1040,941.0,1051.0,172.0,1.0,0.0,0.0,876.0,0.0,172.0,132.0,172.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,15,4,find,2,215,259,204.0,259.0,288.0,2.0,0.0,0.0,876.0,3.0,140.0,240.0,288.0,0.0,0.0,876.0,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,16,4, the,2,259,303,259.0,303.0,,,,,,,,,0.0,0.0,,,,
1950024,0.0,RP_story01,70054.0,10.0,L,56713.0,0.0,279,99,17,11, motivation,2,303,424,303.0,424.0,132.0,1.0,1.0,15.0,69.0,3.0,132.0,140.0,56448.0,259.0,14.0,69.0,240.0,1.0
