subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,1,6,Cowboy,1,215,281,204.0,281.0,200.0,1.0,0.0,0.0,995.0,1.0,200.0,228.0,200.0,0.0,0.0,995.0,412.0,3.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,2,4, was,1,281,325,281.0,325.0,308.0,2.0,1.0,1.0,3.0,2.0,228.0,192.0,500.0,1.0,1.0,3.0,336.0,2.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,3,8, without,1,325,413,325.0,413.0,96.0,1.0,1.0,1.0,5.0,0.0,96.0,124.0,1196.0,7.0,1.0,5.0,692.0,4.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,4,2, a,1,413,435,413.0,435.0,128.0,1.0,1.0,3.0,6.0,1.0,128.0,96.0,1324.0,8.0,1.0,5.0,80.0,1.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,5,6, doubt,1,435,501,435.0,501.0,220.0,1.0,0.0,0.0,995.0,5.0,220.0,212.0,220.0,0.0,0.0,995.0,164.0,1.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,6,4, the,1,501,545,501.0,545.0,204.0,1.0,1.0,4.0,11.0,0.0,204.0,80.0,652.0,3.0,3.0,16.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,7,8, ugliest,1,545,633,545.0,633.0,540.0,2.0,0.0,0.0,995.0,0.0,212.0,268.0,540.0,0.0,0.0,995.0,256.0,2.0
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,8,6, horse,1,633,699,633.0,699.0,268.0,1.0,0.0,0.0,995.0,3.0,268.0,344.0,268.0,0.0,0.0,995.0,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,9,3, in,1,699,732,699.0,732.0,,,,,,,,,,,,,,
1950149,2.0,story03,727599.0,827852.0,100253.0,727662.0,827015.0,20.0,L,73663.0,0.0,385,110,10,4, the,1,732,776,732.0,776.0,344.0,1.0,0.0,0.0,995.0,0.0,344.0,176.0,344.0,0.0,0.0,995.0,340.0,1.0
