subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,1,4,Alex,1,215,259,204.0,259.0,160.0,1.0,0.0,0.0,861.0,1.0,160.0,248.0,160.0,0.0,0.0,861.0,276.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,2,4, and,1,259,303,259.0,303.0,96.0,1.0,1.0,1.0,3.0,0.0,96.0,276.0,372.0,1.0,1.0,3.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,3,4, Tim,1,303,347,303.0,347.0,332.0,1.0,0.0,0.0,861.0,0.0,332.0,360.0,332.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,4,4, are,1,347,391,347.0,391.0,360.0,1.0,0.0,0.0,861.0,2.0,360.0,204.0,360.0,0.0,0.0,861.0,172.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,5,6, lost.,1,391,457,391.0,457.0,204.0,1.0,1.0,4.0,10.0,1.0,204.0,172.0,376.0,1.0,4.0,14.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,6,7, Alex's,1,457,534,457.0,534.0,248.0,1.0,1.0,2.0,0.0,0.0,248.0,96.0,1968.0,8.0,1.0,3.0,660.0,3.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,7,5, wife,1,534,589,534.0,589.0,340.0,1.0,1.0,6.0,18.0,2.0,340.0,380.0,832.0,2.0,6.0,24.0,112.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,8,9, recently,1,589,688,589.0,688.0,412.0,2.0,0.0,0.0,861.0,4.0,208.0,268.0,412.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,9,7, passed,1,688,765,688.0,765.0,404.0,2.0,0.0,0.0,861.0,2.0,268.0,92.0,404.0,0.0,0.0,861.0,200.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,10,5, away,1,765,820,765.0,820.0,92.0,1.0,1.0,9.0,34.0,4.0,92.0,200.0,376.0,2.0,9.0,43.0,84.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,11,4, and,1,820,864,820.0,864.0,208.0,1.0,0.0,0.0,861.0,2.0,208.0,168.0,208.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,12,3, he,1,864,897,864.0,897.0,164.0,1.0,0.0,0.0,861.0,1.0,164.0,124.0,164.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,L,58734.0,0.0,312,74,13,9, couldn't,1,897,996,897.0,1007.0,168.0,1.0,1.0,12.0,56.0,0.0,168.0,164.0,660.0,4.0,12.0,60.0,328.0,3.0
