subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,1,4,Alex,1,215,259,204.0,259.0,160.0,1.0,0.0,0.0,861.0,1.0,160.0,252.0,160.0,0.0,0.0,861.0,172.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,2,4, and,1,259,303,259.0,303.0,188.0,2.0,1.0,1.0,2.0,2.0,96.0,172.0,360.0,1.0,1.0,2.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,3,4, Tim,1,303,347,303.0,347.0,332.0,1.0,0.0,0.0,861.0,1.0,332.0,360.0,332.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,4,4, are,1,347,391,347.0,391.0,360.0,1.0,0.0,0.0,861.0,3.0,360.0,204.0,360.0,0.0,0.0,861.0,172.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,5,6, lost.,1,391,457,391.0,457.0,204.0,1.0,1.0,4.0,10.0,2.0,204.0,172.0,376.0,1.0,4.0,14.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,6,7, Alex's,1,457,534,457.0,534.0,252.0,1.0,1.0,2.0,2.0,2.0,252.0,96.0,1860.0,8.0,1.0,2.0,564.0,2.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,7,5, wife,1,534,589,534.0,589.0,100.0,1.0,0.0,0.0,861.0,1.0,100.0,144.0,100.0,0.0,0.0,861.0,188.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,8,9, recently,1,589,688,589.0,688.0,144.0,1.0,1.0,7.0,25.0,0.0,144.0,188.0,1248.0,5.0,6.0,27.0,532.0,3.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,9,7, passed,1,688,765,688.0,765.0,200.0,1.0,0.0,0.0,861.0,5.0,200.0,88.0,200.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,10,5, away,1,765,820,765.0,820.0,408.0,2.0,0.0,0.0,861.0,0.0,268.0,92.0,408.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,11,4, and,1,820,864,820.0,864.0,92.0,1.0,1.0,9.0,39.0,3.0,92.0,200.0,380.0,2.0,9.0,48.0,88.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,12,3, he,1,864,897,864.0,897.0,208.0,1.0,0.0,0.0,861.0,2.0,208.0,168.0,208.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,13,9, couldn't,1,897,996,897.0,1007.0,584.0,4.0,0.0,0.0,861.0,4.0,168.0,80.0,584.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,14,4,find,2,215,259,204.0,259.0,192.0,1.0,0.0,0.0,861.0,3.0,192.0,308.0,192.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,15,4, the,2,259,303,259.0,303.0,80.0,1.0,1.0,14.0,65.0,0.0,80.0,192.0,272.0,1.0,14.0,74.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,16,11, motivation,2,303,424,303.0,424.0,116.0,1.0,1.0,15.0,71.0,0.0,116.0,80.0,856.0,4.0,14.0,74.0,468.0,2.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,17,3, to,2,424,457,424.0,457.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,18,5, live,2,457,512,457.0,512.0,432.0,2.0,0.0,0.0,861.0,1.0,224.0,100.0,432.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,19,2, a,2,512,534,512.0,534.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,20,7, normal,2,534,611,534.0,611.0,636.0,3.0,0.0,0.0,861.0,1.0,100.0,156.0,636.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,21,6, life.,2,611,677,611.0,677.0,156.0,1.0,0.0,0.0,861.0,4.0,156.0,120.0,156.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,22,4, Tim,2,677,721,677.0,721.0,120.0,1.0,0.0,0.0,861.0,3.0,120.0,440.0,120.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,23,4, has,2,721,765,721.0,765.0,588.0,2.0,0.0,0.0,861.0,1.0,440.0,244.0,588.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,24,5, been,2,765,820,765.0,820.0,244.0,1.0,0.0,0.0,861.0,2.0,244.0,116.0,244.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,25,8, charged,2,820,908,820.0,908.0,424.0,3.0,0.0,0.0,861.0,0.0,116.0,200.0,424.0,0.0,0.0,861.0,228.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,26,5, with,2,908,963,908.0,974.0,384.0,2.0,1.0,25.0,127.0,3.0,200.0,228.0,740.0,2.0,25.0,132.0,128.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,27,12,embezzlement,3,215,347,204.0,347.0,2028.0,8.0,0.0,0.0,861.0,3.0,132.0,108.0,2028.0,0.0,0.0,861.0,4048.0,11.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,28,4, and,3,347,391,347.0,391.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,29,3, is,3,391,424,391.0,424.0,108.0,1.0,1.0,27.0,145.0,0.0,108.0,228.0,4156.0,11.0,27.0,150.0,264.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,30,6, going,3,424,490,424.0,490.0,132.0,1.0,1.0,29.0,152.0,0.0,132.0,264.0,604.0,2.0,29.0,156.0,208.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,31,3, to,3,490,523,490.0,523.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,32,7, prison,3,523,600,523.0,600.0,368.0,1.0,0.0,0.0,861.0,3.0,368.0,80.0,368.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,33,6, soon.,3,600,666,600.0,666.0,396.0,2.0,0.0,0.0,861.0,1.0,80.0,268.0,396.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,34,4, The,3,666,710,666.0,710.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,35,8, thought,3,710,798,710.0,798.0,684.0,3.0,0.0,0.0,861.0,4.0,268.0,184.0,684.0,0.0,0.0,861.0,156.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,36,3, of,3,798,831,798.0,831.0,184.0,1.0,1.0,35.0,184.0,0.0,184.0,156.0,340.0,1.0,35.0,188.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,37,5, that,3,831,886,831.0,886.0,196.0,1.0,0.0,0.0,861.0,0.0,196.0,188.0,196.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,38,10, terrified,3,886,996,886.0,1007.0,720.0,3.0,0.0,0.0,861.0,0.0,188.0,88.0,720.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,39,4,him.,4,215,259,204.0,259.0,316.0,1.0,0.0,0.0,861.0,3.0,316.0,148.0,316.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,40,5, They,4,259,314,259.0,314.0,88.0,1.0,1.0,39.0,203.0,3.0,88.0,316.0,552.0,2.0,39.0,213.0,148.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,41,8, decided,4,314,402,314.0,402.0,504.0,3.0,0.0,0.0,861.0,3.0,140.0,216.0,504.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,42,3, to,4,402,435,402.0,435.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,43,5, take,4,435,490,435.0,490.0,216.0,1.0,0.0,0.0,861.0,4.0,216.0,204.0,216.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,44,2, a,4,490,512,490.0,512.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,45,5, ride,4,512,567,512.0,567.0,204.0,1.0,0.0,0.0,861.0,2.0,204.0,252.0,204.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,46,5, down,4,567,622,567.0,622.0,252.0,1.0,0.0,0.0,861.0,2.0,252.0,112.0,252.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,47,4, the,4,622,666,622.0,666.0,312.0,2.0,0.0,0.0,861.0,0.0,112.0,164.0,312.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,48,6, river,4,666,732,666.0,732.0,348.0,2.0,0.0,0.0,861.0,5.0,164.0,232.0,348.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,49,7, rapids,4,732,809,732.0,809.0,808.0,2.0,0.0,0.0,861.0,6.0,232.0,208.0,808.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,50,3, at,4,809,842,809.0,842.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,51,9, Cataract,4,842,941,842.0,941.0,3052.0,4.0,0.0,0.0,861.0,2.0,208.0,672.0,3052.0,0.0,0.0,861.0,312.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,52,8, Canyon.,4,941,1029,941.0,1040.0,672.0,1.0,1.0,51.0,271.0,1.0,672.0,312.0,1148.0,2.0,51.0,274.0,164.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,53,1,A,5,215,226,204.0,226.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,54,6, river,5,226,292,226.0,292.0,1400.0,2.0,0.0,0.0,861.0,2.0,956.0,312.0,1400.0,0.0,0.0,861.0,608.0,3.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,55,5, only,5,292,347,292.0,347.0,108.0,1.0,1.0,54.0,286.0,1.0,108.0,956.0,1508.0,2.0,54.0,287.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,56,5, goes,5,347,402,347.0,402.0,312.0,1.0,0.0,0.0,861.0,0.0,312.0,280.0,312.0,0.0,0.0,861.0,180.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,57,4, one,5,402,446,402.0,446.0,280.0,1.0,0.0,0.0,861.0,2.0,280.0,292.0,280.0,0.0,0.0,861.0,260.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,58,5, way.,5,446,501,446.0,501.0,292.0,1.0,1.0,54.0,287.0,2.0,292.0,156.0,1572.0,6.0,54.0,288.0,232.0,1.0
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,59,3, If,5,501,534,501.0,534.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,60,4, you,5,534,578,534.0,578.0,496.0,3.0,0.0,0.0,861.0,0.0,236.0,328.0,496.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,61,4, are,5,578,622,578.0,622.0,,,,,,,,,,,,,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,62,6," lost,",5,622,688,622.0,688.0,672.0,2.0,0.0,0.0,861.0,1.0,328.0,296.0,672.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,63,5, that,5,688,743,688.0,743.0,296.0,1.0,0.0,0.0,861.0,0.0,296.0,164.0,296.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,64,3, is,5,743,776,743.0,776.0,164.0,1.0,0.0,0.0,861.0,0.0,164.0,188.0,164.0,0.0,0.0,861.0,,
1950149,0.0,story01,587371.0,667364.0,79993.0,587408.0,666560.0,11.0,R,53659.0,0.0,314,84,65,6, good.,5,776,842,776.0,842.0,188.0,1.0,0.0,0.0,861.0,5.0,188.0,328.0,188.0,0.0,0.0,861.0,144.0,1.0
